author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text
Corriere;Mon Aug 26 07:15:21 +0000 2024;4;3947;0;0;Mamma in scooter travolta da auto mentre va al lavoro. Il guidatore aveva bevuto https://t.co/klX3vsMm4o
Corriere;Mon Aug 26 07:10:33 +0000 2024;6;3432;0;0;Antonio Zuliani, addio allo psicologo che stava tra la gente: aveva 73 anni https://t.co/eu9ML63oVg
Corriere;Mon Aug 26 07:05:44 +0000 2024;5;3852;0;0;Al Nord temperature in discesa e temporali per l'arrivo di una «saccatura» atlantica https://t.co/ah6KVrDELP
Corriere;Mon Aug 26 07:01:01 +0000 2024;3;3647;0;0;Henao, l'ereditiera scomparsa: «Potrebbero riprendere le ricerche nei boschi del Vicentino» https://t.co/EG24WSC9Bv
Corriere;Mon Aug 26 06:18:45 +0000 2024;15;5389;2;0;Gaia Giovannini: «Pensavo alle vacanze e ho vinto l'oro alle Olimpiadi. Il ritorno sul treno regionale? Giusto così» https://t.co/opXkdOg1JI
Corriere;Mon Aug 26 06:14:16 +0000 2024;10;5677;3;3;Il misterioso oggetto scoperto nella nostra galassia che viaggia a 1,6 milioni di chilometri orari https://t.co/TrhDIL1jbn
Corriere;Mon Aug 26 06:11:53 +0000 2024;76;19419;18;76;Rivoluzione: inventata in Corea la batteria per auto che si ricarica in cinque secondi https://t.co/FSCSiw9QCc
Corriere;Mon Aug 26 06:07:05 +0000 2024;3;6562;0;8;Perché in Islanda sono spariti i cetrioli dai supermercati (e perché è «colpa» di TikTok) https://t.co/t3H3LuztlZ
Corriere;Mon Aug 26 06:03:08 +0000 2024;164;42456;30;195;I balneari di Ostia: «Stagione da cancellare, la peggiore di sempre» | A Sabaudia scomparsi i vacanzieri dall'estero https://t.co/tJBZNojOqp
Corriere;Mon Aug 26 05:31:59 +0000 2024;9;6130;4;5;Durov e l'arresto a Parigi: le proteste online #freepavel e il rischio di una fuga degli utenti da Telegram https://t.co/aNXbB4djZl
Corriere;Mon Aug 26 05:27:08 +0000 2024;12;4584;2;0;Scoprite con noii 141 campionidella Paralimpiade 2024 https://t.co/XTYH5j5Czg
Corriere;Mon Aug 26 05:22:17 +0000 2024;6;5071;1;2;Omicidio di Sharon Verzeni, i nove punti per risolvere il giallo: l’angolo cieco, la bicicletta, il cellulare https://t.co/4owYJ6pBdJ
Corriere;Mon Aug 26 05:17:36 +0000 2024;6;4582;2;0;Il recupero della Viadi Linari e il mistero dell’Abbazia del Malpasso https://t.co/lX2BT371EK
Corriere;Mon Aug 26 05:13:24 +0000 2024;8;4715;1;0;Crowdfunding dei bimbiin spiaggia per i coetaneidi un villaggio in Uganda https://t.co/Tta1SQhEaK
Corriere;Mon Aug 26 02:24:05 +0000 2024;13;6636;9;0;Bayesian affondato, indagato il comandante. I dubbi sui portelloni aperti, l'allerta meteo mancata, la festa https://t.co/fO7Q9YTiuB
Corriere;Mon Aug 26 01:01:24 +0000 2024;2;4981;0;2;Zelensky: «Presi due villaggi nel Kursk». Attacco russo su un albergo a Kramatorsk: morto un membro della sicurezza di Reuters https://t.co/1Io0oyNqbw
Corriere;Mon Aug 26 00:10:00 +0000 2024;7;5044;3;1;Islanda, crolla il soffitto di una grotta di ghiaccio, due turisti feriti, due ancora intrappolati all'interno https://t.co/pqjyLKFS98
Corriere;Sun Aug 25 22:29:01 +0000 2024;2;5882;1;2;L’attacco di Hezbollah anticipato da Israele. Nasrallah: «Colpiremo ancora» | I colloqui vanno avanti, gli Usa premono per tregua https://t.co/xex0HGwlrq
Corriere;Sun Aug 25 21:56:21 +0000 2024;2;6287;1;0;Le tante emergenze del Paese e lo sguardo corto della politica https://t.co/QhHGS4cwDN
Corriere;Sun Aug 25 21:22:24 +0000 2024;13;7927;2;4;Il Napoli si riprende e batte 3-0 il Bologna: in gol Di Lorenzo, Kvaratskhelia e Simeone https://t.co/G0aucYjPkT
Corriere;Sun Aug 25 21:09:51 +0000 2024;5;7335;1;0;Attacco preventivo di Israele, 320 razzi da Hezbollah. I colloqui al Cairo vanno avanti, ma i nodi restano. Usa premono per la tregua https://t.co/eJAtBsTpUC
Corriere;Sun Aug 25 21:05:21 +0000 2024;8;8504;2;8;Lollobrigida e l’addio ad Arianna: «Con lei e Giorgia non c’è nessun problema politico» https://t.co/Z9Gb6qaGQr
Corriere;Sun Aug 25 20:54:26 +0000 2024;64;35208;7;103;Bonaccini: «Noi contro Trump. I 5 Stelle riflettano sulla politica estera» https://t.co/DdOpsZdOc3
Corriere;Sun Aug 25 20:49:32 +0000 2024;5;8239;2;3;Ue, la premier pronta a lanciare Fitto. L’ipotesi: il Pnrr a Palazzo Chigi https://t.co/oQ9KjQ8Yy6
Corriere;Sun Aug 25 19:58:21 +0000 2024;3;8682;2;0;Le indennità, gli addii, la candidatura in Liguria: l’ultima giravolta di Nicola Morra, ex cocco di Grillo https://t.co/uROXnSbag7
Corriere;Sun Aug 25 19:08:07 +0000 2024;3;8463;0;0;Si sente male in spiaggia a Casal Velino: prelevato dai soccorsi con l'elicottero https://t.co/mhQmTcLwdD
Corriere;Sun Aug 25 18:59:48 +0000 2024;6;7127;0;2;Torino-Atalanta 2-1: rimonta granata, Milinkovic eroe con il rigore parato a Pasalic al 95' https://t.co/MhIwY451Mm
Corriere;Sun Aug 25 18:55:06 +0000 2024;2;7091;0;0;Napoli-Bologna: Raspadori subit a lato di poco Live 0-0 Roma-Empoli: diretta 0-0 https://t.co/h2MNwv4WGc
Corriere;Sun Aug 25 18:50:29 +0000 2024;6;8382;0;6;Manovra, sconti fiscali nel mirino: in vista tagli e franchigie ai bonus https://t.co/CAcvdWIwgN
Corriere;Sun Aug 25 18:33:29 +0000 2024;6;6869;0;0;Ascoli Piceno, bambino di 3 anni cade in un canale irriguo: è in condizioni disperate https://t.co/Y6GNL7Ufcl
Corriere;Sun Aug 25 18:17:08 +0000 2024;26;13064;4;1;La rottweiler abbandonata da un clochard, salvata dai residenti di Testaccio. Ora è in canile https://t.co/MfEXM39Zfq
Corriere;Sun Aug 25 17:59:56 +0000 2024;4;6432;0;0;"Le pagelle: Leclerc Re Mida da 10; Newey, ora basta (0). La Red Bull si è inceppata (5) https://t.co/HpHLoDbggO"
Corriere;Sun Aug 25 17:42:51 +0000 2024;21;9173;0;2;Angelina Mango e Gaia innovano la tradizione alla Notte della Taranta davanti a duecentomila fan https://t.co/ERIT207t3R
Corriere;Sun Aug 25 17:00:54 +0000 2024;3;10929;0;31;Ecco perché il costo del caffè al bar, dopo le ferie, potrebbe salire a 2 euro https://t.co/ewUcTCIo8X
fattoquotidiano;Mon Aug 26 07:48:06 +0000 2024;16;2803;13;19;Denaro, passaporto russo e ricatti: ecco come Mosca recluta migliaia di soldati tra i migranti più poveri di Sri Lanka, Nepal e Somalia - Il Fatto Quotidiano https://t.co/GclCXHPEtQ https://t.co/Mf1cPvONF7
fattoquotidiano;Mon Aug 26 07:29:31 +0000 2024;6;2435;2;0;"Elezioni Emilia-Romagna, ""De Pascale avanti di 8 punti su Ugolini"". E il candidato del campo largo inizia a smarcarsi dalle scelte di Bonaccini - Il Fatto Quotidiano https://t.co/uIZp0Dk93a https://t.co/FztG0aMiR6"
fattoquotidiano;Mon Aug 26 07:13:40 +0000 2024;15;2504;5;0;"Massiccio attacco russo, ""udite esplosioni a Kiev"". Mosca: ""Testato sistema anti droni"" - Il Fatto Quotidiano https://t.co/CFek14AEPI https://t.co/cqEYEzaFjk"
fattoquotidiano;Mon Aug 26 07:01:53 +0000 2024;3;2454;1;0;"☮️ 🌽 NUTRIRE LA PACE La Scuola del Fatto Quotidiano propone il corso: ""Sostenibilità, alimentazione e conflitti"", per approfondire le connessioni tra sviluppo sostenibile, cibo, acqua, e conflitti armati.   Per info e iscrizioni 👉 https://t.co/N0b7LmCau0 https://t.co/zcd2mJsktf"
fattoquotidiano;Mon Aug 26 06:57:49 +0000 2024;30;2867;10;6;"Il sindaco di Agrigento vieta i souvenir di mafia. L'ex procuratore: ""Un pannicello caldo, denunci vecchi e nuovi ladri di risorse idriche"" - Il Fatto Quotidiano https://t.co/l99gcm8djx https://t.co/g3HotOv2ig"
fattoquotidiano;Mon Aug 26 06:40:49 +0000 2024;14;3280;10;4;"""Assistenza ad alunni disabili solo se ci sono i soldi""? I sindaci contro la sentenza: ""Niente tagli. Ma ora gli educatori siano integrati dallo Stato"" - Il Fatto Quotidiano https://t.co/5MaaHjXsWJ https://t.co/859koCNq5h"
fattoquotidiano;Mon Aug 26 06:15:00 +0000 2024;6;3149;2;0;Insostenibile nostalgia delle molestie: l’elogio della pacca sul sedere. @silviatruzzi1 https://t.co/1u0kQvy7Zd
fattoquotidiano;Mon Aug 26 06:11:27 +0000 2024;17;3304;4;0;Il volley italiano: vittorie e soldi, ma gli atleti sono tutti https://t.co/HENh0FJbDt.. Il nostro campionato è il più importante al mondo, ma le vincitrici di Parigi e i loro colleghi sono dilettanti. Ora è nato un sindacato. @LeonardoBison https://t.co/0758hcaA5b
fattoquotidiano;Mon Aug 26 06:06:48 +0000 2024;4;3097;2;0;Pani cornuti, donne volanti: è l’allucinazione di Alicudi. Indagano il mistero dell’isola più selvaggia delle Eolie: una “visione collettiva” di inizio secolo (di Crocifisso Dentello) https://t.co/2RHxU0THuz
fattoquotidiano;Mon Aug 26 06:02:53 +0000 2024;11;3089;6;1;"Marino Niola: “Sorelle, cognati&amp;C.: l’Italia dei Malavoglia tra sangue e potere”. L'intervista all’antropologo: “Il partito-famiglia”. @antonellocapor2 https://t.co/7PQ7shyCjp"
fattoquotidiano;Mon Aug 26 05:57:14 +0000 2024;7;3012;4;0;“Le periferie? Ancora fatte fuori”: a sinistra c’è un buco nero. Alle giornate del partito verde esplode il caso dei “quartieri-ghetto”: nessun suo esponente tra le figure apicali, giovani marginalizzati. @NevGgp @lefollclement https://t.co/qzZ39rb6NG
